Sentence,Link,Sentiment Score
Pakistan faces $3,https://www.brecorder.com/news/40240483/pakistan-faces-37bn-debt-payments-in-may-june-report,0.0
IMF reiterates ‘necessary financing’ condition for completion of Pakistan’s ninth review,https://www.brecorder.com/news/40240497/imf-reiterates-necessary-financing-condition-for-completion-of-pakistans-ninth-review,0.0
Pakistan-Turkiye trade in goods agreement comes into force,https://www.brecorder.com/news/40240456/pakistan-turkiye-trade-in-goods-agreement-comes-into-force,0.0
Pakistan faces $3,https://www.brecorder.com/news/40240483/pakistan-faces-37bn-debt-payments-in-may-june-report,0.0
IMF reiterates ‘necessary financing’ condition for completion of Pakistan’s ninth review,https://www.brecorder.com/news/40240497/imf-reiterates-necessary-financing-condition-for-completion-of-pakistans-ninth-review,0.0
Pakistan-Turkiye trade in goods agreement comes into force,https://www.brecorder.com/news/40240456/pakistan-turkiye-trade-in-goods-agreement-comes-into-force,0.0
'Discord Leaks' reveal Pakistan’s declining support for US,https://www.brecorder.com/news/40239714/discord-leaks-reveal-pakistans-declining-support-for-us,0.0
IMF reiterates ‘necessary financing’ condition for completion of Pakistan’s ninth review,https://www.brecorder.com/news/40240497/imf-reiterates-necessary-financing-condition-for-completion-of-pakistans-ninth-review,0.0
"PYMA concerned at discontinuation of concessional package by Ogra






KARACHI: Sohail Nisar, Senior Vice Chairman, Pakistan Yarn Merchants Association (PYMA), after the discontinuation",https://www.brecorder.com/news/40240594/pyma-concerned-at-discontinuation-of-concessional-package-by-ogra,-0.1
Pakistan faces $3,https://www.brecorder.com/news/40240483/pakistan-faces-37bn-debt-payments-in-may-june-report,0.0
IMF reiterates ‘necessary financing’ condition for completion of Pakistan’s ninth review,https://www.brecorder.com/news/40240497/imf-reiterates-necessary-financing-condition-for-completion-of-pakistans-ninth-review,0.0
Pakistan-Turkiye trade in goods agreement comes into force,https://www.brecorder.com/news/40240456/pakistan-turkiye-trade-in-goods-agreement-comes-into-force,0.0
Pakistan faces $3,https://www.brecorder.com/news/40240483/pakistan-faces-37bn-debt-payments-in-may-june-report,0.0
IMF reiterates ‘necessary financing’ condition for completion of Pakistan’s ninth review,https://www.brecorder.com/news/40240497/imf-reiterates-necessary-financing-condition-for-completion-of-pakistans-ninth-review,0.0
Pakistan-Turkiye trade in goods agreement comes into force,https://www.brecorder.com/news/40240456/pakistan-turkiye-trade-in-goods-agreement-comes-into-force,0.0
'Discord Leaks' reveal Pakistan’s declining support for US,https://www.brecorder.com/news/40239714/discord-leaks-reveal-pakistans-declining-support-for-us,0.0
IMF reiterates ‘necessary financing’ condition for completion of Pakistan’s ninth review,https://www.brecorder.com/news/40240497/imf-reiterates-necessary-financing-condition-for-completion-of-pakistans-ninth-review,0.0
Pakistan needs to repay $3,https://www.dawn.com/news/1751156/pakistan-needs-to-repay-37bn-debt-by-june-fitch,0.0
"7bn debt by June: Fitch






However, the Fitch Ratings expects Pakistan and IMF to reach an agreement",https://www.dawn.com/news/1751156/pakistan-needs-to-repay-37bn-debt-by-june-fitch,0.0
"IMF insists on ‘pledges for financing’






Pakistan has announced pledges worth $3bn in financing support from Saudi Arabia and UAE but the funds have yet to come through",https://www.dawn.com/news/1751154/imf-insists-on-pledges-for-financing,0.3
"Cnergyico’s Azm-e-Pakistan campaign is encouraging us to spread positivity through small acts of kindness


Sponsored 





Cnergyico runs Pakistan’s biggest oil refinery that can process up to 156,000 barrels of crude oil per day",https://www.dawn.com/news/1704630/cnergyicos-azm-e-pakistan-campaign-is-encouraging-us-to-spread-positivity-through-small-acts-of-kindness,-0.475
"Pakistan bailout review to conclude once financing in place: IMF





Mission Chief Nathan Porter assures support in implementation of policies including work to prepare new budget that has to be passed before end June",https://www.dawn.com/news/1751051/pakistan-bailout-review-to-conclude-once-financing-in-place-imf,0.13636363636363635
State Life: The outlier in Pakistan’s insurance industry,https://www.dawn.com/news/1749571/state-life-the-outlier-in-pakistans-insurance-industry,0.0
"In Pakistan, the situation has never been ideal for workers but it has never been worse than what it is today",https://www.dawn.com/news/1750300/in-pakistan-the-situation-has-never-been-ideal-for-workers-but-it-has-never-been-worse-than-what-it-is-today,0.25
Pakistan remains trapped in somnambulist status quo as wealth stays concentrated in few hands,https://www.dawn.com/news/1750296/pakistan-remains-trapped-in-somnambulist-status-quo-as-wealth-stays-concentrated-in-few-hands,-0.2
"Persistent inequalities






Over 360,000 people are currently trapped in bonded labour in Pakistan
 
    
Published 01 May, 2023 08:01am

 

 

 

0",https://www.dawn.com/news/1750287/persistent-inequalities,-0.2
Pakistan needs to repay $3,https://www.dawn.com/news/1751156/pakistan-needs-to-repay-37bn-debt-by-june-fitch,0.0
SSGCL questions Pakistan Steel’s audited accounts,https://www.dawn.com/news/1751002/ssgcl-questions-pakistan-steels-audited-accounts,0.0
Pakistanis spend more on brands: Ipsos,https://www.dawn.com/news/1750793/pakistanis-spend-more-on-brands-ipsos,0.5
Are Pakistan-India relations doomed forever?,https://www.dawn.com/news/1749229/are-pakistan-india-relations-doomed-forever,0.0
Are Pakistan-India relations doomed forever?,https://www.dawn.com/news/1749229/are-pakistan-india-relations-doomed-forever,0.0
