Title,Link,Sentiment
"Pakistan’s financial platform Abhi raises Rs2bn Sukuk bond, a ‘first in MENAP’",https://www.brecorder.com/news/40241717/pakistans-financial-platform-abhi-raises-rs2bn-sukuk-bond-a-first-in-menap,0.125
"Major internet connectivity issues reported across Pakistan, social media websites down",https://www.brecorder.com/news/40241149/major-internet-connectivity-issues-reported-across-pakistan-social-media-websites-down,-0.01990740740740742
Pakistan needs significantly more financing for successful bailout review: IMF,https://www.brecorder.com/news/40241667/pakistan-needs-significantly-more-financing-for-successful-bailout-review-imf,0.625
"Major internet connectivity issues reported across Pakistan, social media websites down",https://www.brecorder.com/news/40241149/major-internet-connectivity-issues-reported-across-pakistan-social-media-websites-down,-0.01990740740740742
Private schools across Pakistan to remain closed on Wednesday: APPSF,https://www.brecorder.com/news/40241151/private-schools-across-pakistan-to-remain-closed-on-wednesday-appsf,-0.05
"Ninth review: fresh financing requirements unchanged, says IMF






Resident representative says 'no truth to reports that IMF is asking Pakistan to raise $8bn in fresh financing'",https://www.brecorder.com/news/40242004/ninth-review-fresh-financing-requirements-unchanged-says-imf,0.3
"Pakistan and Ethiopia: ‘Direct flights help enhance economic and trade relations’






KARACHI: Honorary Consul General of Ethiopia in Pakistan Ibrahim Khalid Tawab has said that the direct flights",https://www.brecorder.com/news/40241803/pakistan-and-ethiopia-direct-flights-help-enhance-economic-and-trade-relations,0.11250000000000002
"Pakistan’s financial platform Abhi raises Rs2bn Sukuk bond, a ‘first in MENAP’",https://www.brecorder.com/news/40241717/pakistans-financial-platform-abhi-raises-rs2bn-sukuk-bond-a-first-in-menap,0.125
"Major internet connectivity issues reported across Pakistan, social media websites down",https://www.brecorder.com/news/40241149/major-internet-connectivity-issues-reported-across-pakistan-social-media-websites-down,-0.01990740740740742
Pakistan needs significantly more financing for successful bailout review: IMF,https://www.brecorder.com/news/40241667/pakistan-needs-significantly-more-financing-for-successful-bailout-review-imf,0.625
"Major internet connectivity issues reported across Pakistan, social media websites down",https://www.brecorder.com/news/40241149/major-internet-connectivity-issues-reported-across-pakistan-social-media-websites-down,-0.01990740740740742
Private schools across Pakistan to remain closed on Wednesday: APPSF,https://www.brecorder.com/news/40241151/private-schools-across-pakistan-to-remain-closed-on-wednesday-appsf,-0.05
"Pakistan’s external financing requirements for IMF deal unchanged: IMF





""There is no truth to reports that the IMF is asking Pakistan to raise $8bn in fresh financing,"" says resident representative Esther Pérez Ruiz",https://www.dawn.com/news/1753136/pakistans-external-financing-requirements-for-imf-deal-unchanged-imf,0.15
"Cnergyico’s Azm-e-Pakistan campaign is encouraging us to spread positivity through small acts of kindness


Sponsored 





Cnergyico runs Pakistan’s biggest oil refinery that can process up to 156,000 barrels of crude oil per day",https://www.dawn.com/news/1704630/cnergyicos-azm-e-pakistan-campaign-is-encouraging-us-to-spread-positivity-through-small-acts-of-kindness,-0.475
"US company plans $200m pink salt facility





Pakistan has huge reserves of pink salt with a potential earning of $12bn annually whereas currently, it's earning only $70m a year",https://www.dawn.com/news/1753026/us-company-plans-200m-pink-salt-facility,0.03333333333333334
"Stocks suffer losses in jittery week






Arif Habib Ltd says another reason for pessimism is the absence of Pakistan from the agenda of the IMF meetings",https://www.dawn.com/news/1753028/stocks-suffer-losses-in-jittery-week,-0.0125
Pakistan remains trapped in somnambulist status quo as wealth stays concentrated in few hands,https://www.dawn.com/news/1750296/pakistan-remains-trapped-in-somnambulist-status-quo-as-wealth-stays-concentrated-in-few-hands,-0.2
Blanket relief: IHC bars Imran’s arrest in cases across Pakistan till Monday,https://www.dawn.com/news/1752554/blanket-relief-ihc-bars-imrans-arrest-in-cases-across-pakistan-till-monday,-0.05
Blanket relief: IHC bars Imran’s arrest in cases across Pakistan till Monday,https://www.dawn.com/news/1752554/blanket-relief-ihc-bars-imrans-arrest-in-cases-across-pakistan-till-monday,-0.05
"Editorial: Pakistan, for the first time in recent memory, seems to be flirting dangerously with civil war",https://www.dawn.com/news/1753099/editorial-pakistan-for-the-first-time-in-recent-memory-seems-to-be-flirting-dangerously-with-civil-war,-0.11666666666666665
